ASV_P	Taxa	ERR2139368	ERR2139369	ERR2139370	ERR2139371	ERR2139372	ERR2139373	ERR2139374	ERR2139375	ERR2139376	ERR2139377	ERR2139378	ERR2139379
ASV_P_117	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;uncultured_bacterium	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_118	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;uncultured_bacterium	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_119	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_120	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Vulcaniibacterium;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_121	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;Thermus_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_122	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;uncultured_bacterium	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_123	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Sphingomonas_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
ASV_P_124	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0
ASV_P_125	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;uncultured_bacterium666666666666666	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_126	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Prosthecobacter;Prosthecobacter_vanneervenii	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_127	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0
ASV_P_128	Bacteria;Armatimonadota;uncultured;uncultured;uncultured;uncultured	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_129	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0
ASV_P_130	Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_131	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;uncultured_bacterium	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_132	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0
ASV_P_133	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_134	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;NA	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_135	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_136	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;Thermus_scotoductus666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
ASV_P_137	Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
ASV_P_138	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;uncultured_bacterium666666666666666	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_139	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;Thermus_scotoductus666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
ASV_P_140	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Sphingomonas_sp.666666666666666	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_141	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_142	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
ASV_P_143	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	116.0	41.0	0.0	0.0	0.0	0.0
ASV_P_144	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	42.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0
ASV_P_145	NA;NA;NA;NA;NA;NA;NA	0.0	89.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0
ASV_P_146	NA;NA;NA;NA;NA;NA;NA	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_147	NA;NA;NA;NA;NA;NA;NA	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_148	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_149	NA;NA;NA;NA;NA;NA;NA	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_150	NA;NA;NA;NA;NA;NA;NA	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_151	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_152	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_153	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_154	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0
ASV_P_155	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0
ASV_P_156	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_157	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0
ASV_P_158	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
ASV_P_159	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
ASV_P_160	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0
ASV_P_161	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0
ASV_P_162	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_P_163	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
ASV_P_164	NA;NA;NA;NA;NA;NA;NA	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_I_1	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	23787	27798	20551	25657	18639	24157	20252	27135	30433	23324	26258	0
ASV_I_2	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;bailii	2927	3496	2475	3091	2434	2765	2435	3378	3648	2601	3117	3031
ASV_I_3	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	0	0	0	0	0	0	0	0	0	26637
ASV_I_4	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	0	0	0	182	0	2	0	0	0	0
ASV_I_5	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	123	4	0	0	0	0	37	3	0	0
ASV_I_6	Fungi;Ascomycota;Dothideomycetes;Dothideales;Aureobasidiaceae;Aureobasidium;leucospermi	0	0	64	0	0	0	0	0	11	0	0	0
ASV_I_7	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	0	0	0	69	0	0	0	0	0	0
ASV_I_8	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	0	0	0	67	0	0	0	0	0	0
ASV_I_9	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;glandicola	0	0	0	0	0	32	0	0	0	0	0	0
ASV_I_10	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	17	0	0	0	0	0	0	0	0	0
ASV_I_11	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	0	0	0	0	0	0	17	0	0	0
ASV_I_12	Fungi;Basidiomycota;Agaricomycetes;Auriculariales;Auriculariaceae;Auricularia;NA	0	0	7	0	0	0	0	0	0	0	0	0
ASV_I_13	Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;saturatus	0	0	6	0	0	0	0	0	0	0	0	0
ASV_I_14	Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;NA	0	0	4	0	0	0	0	0	0	0	0	0
ASV_I_15	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;magnum	0	0	2	0	0	0	0	0	0	0	0	0
