GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]
110208A	21:10:46	445038	22.487	-20.561	1.8	37.4	2.7
110207A	11:17:20	444912	12.540	-10.790	1.3	80.3	16
110205A	02:02:41	444643	164.603	67.533	2.2	257	170
110201A	09:35:08	444230	137.489	88.610	1.3	13.0	7.0
110128A	01:44:33	443861	193.871	28.108	2.3	30.7	7.2
110119A	22:20:58	442978	348.589	5.982	1.5	208	70
110112A	04:12:18	442039	329.936	26.470	2.6	0.5	0.30
110107A	21:15:51	Ground Analysis|20154	299.890	41.889	3	n/a	58
110106B	21:26:17	441676	134.155	47.005	1.2	24.8	20
110106A	15:25:16	441664	79.295	64.199	2.0	4.3	3.0
110102A	18:52:25	441454	245.877	7.617	1.8	264	165
101225A	18:37:45	441015	0.2037	44.5739	3.6	1088.0	19
101224A	05:27:13	440955	285.939	45.706	2.1	0.2	0.58
101219B	16:27:53	440635	12.259	-34.556	3.9	34	21
101219A	02:31:29	440606	74.586	-2.527	1.0	0.6	4.6
101213A	10:49:23	440285	241.297	21.905	1.1	135	50
101204A	23:53:29	439806|Ground Analysis|20153	167.548	-20.434	n/a	n/a	12
101201A	10:01:48	439595|439596|Ground Analysis|20152	1.955	-16.196	2	n/a	n/a
101129A	15:39:31	439471|Ground Analysis|20151	155.921	-17.645	3	0.35	~0.9
101117B	19:13:23	438675	172.991	-72.651	1.1	5.2	11
101114A	00:32:50	438392|Ground Analysis|20150	303.193	14.029	1.8	>10	8.0
101030A	15:56:29	437408	166.390	-16.389	1.1	92.0	20
101024A	11:39:29.82	437016	66.465	-77.261	1.1	18.7	15
101023A	22:50:12	436981	317.949	-65.389	1.4	80.8	270
101020A	23:40:41	436737	189.607	23.129	3.4	175.0	26
101017A	10:32:47	436429	291.377	-35.141	1.0	70.0	180
101011A	16:58:35	436094	48.274	-65.990	1.2	71.5	14
101008A	16:43:15	435903	328.882	37.060	2.1	104	11
100928A	02:19:52	435160	223.037	-28.542	2.3	3.3	3.5
100924A	03:58:08	434843	0.672	7.004	1.0	96.0	83
100917A	05:03:25	434360	289.250	-17.120	2.1	66	8.6
100915A	01:31:05	434178	315.664	65.676	2.0	200	15
100906A	13:49:27	433509	28.697	55.634	1.0	114.4	120
100905A	15:08:14	433442	31.542	14.919	1.7	3.4	1.7
100904A	01:33:43	433273	172.907	-16.185	1.8	31.3	13
100902A	19:31:54	433160	48.626	30.970	1.3	428.8	32
100901A	13:34:10	433065	27.252	22.751	3.5	439	21
100823A	17:25:35	432420	20.706	5.848	1.4	16.9	4.1
100816A	00:37:51	431764	351.738	26.568	1.0	2.9	20
100814A	03:50:11	431605	22.479	-17.990	1.0	174.5	90
100807A	09:13:13	431128	55.283	67.665	1.9	7.9	3.4
100805A	04:12:42	430957	299.846	52.618	2.0	15.0	5.1
100802A	05:45:36	430603	2.482	47.752	1.1	487	36
100728B	10:31:55	430172	44.051	0.296	1.5	12.1	17
100728A	02:18:24	430151	88.753	-15.259	1.0	198.5	380
100727A	05:42:17	430094	154.187	-21.417	1.6	84	12
100725B	11:24:34	429969	290.029	76.955	1.2	200	68
100725A	07:12:52	429954	166.468	-26.667	1.2	141	20
100724A	00:42:19	429868	194.569	-11.095	1.7	1.4	1.6
100719A	03:30:57	429357	112.319	-5.857	2.4	36.0	5.3
100704A	03:35:08	426722	133.639	-24.202	1.0	197.5	60
100702A	01:03:47	426438	245.693	-56.549	1.4	0.16	1.2
100628A	08:16:40	426114	225.943	-31.653	2.1	0.036	0.25
100625A	18:32:28	425647	15.796	-39.091	1.0	0.33	2.3
100621A	03:03:32	425151	315.309	-51.102	1.0	63.6	210
100619A	00:21:07	424998	84.618	-27.012	1.0	97.5	45
100615A	01:59:03	424733	177.208	-19.483	1.0	39	50
100614A	21:38:26	424716	263.534	49.232	1.6	225	27
100606A	19:12:41	424031	350.617	-66.234	1.1	480	64
100526B	19:00:38	423184	0.777	-37.913	3.0	64.0	4.7
100526A	16:26:10	423181	230.792	25.623	2.0	102	25
100522A	03:45:52	422783	6.990	9.397	1.0	35.3	21
100514A	18:53:58	421962	328.821	29.170	3	TBD	TBD
100513A	02:07:08	421814	169.606	3.617	1.5	84	14
100508A	09:20:42	421386	76.263	-20.744	2.2	52	7.0
100504A	19:20:59	421124	255.575	-35.590	1.0	97.3	24
100427A	08:31:55	Ground Analysis|20137	89.171	-3.461	2.5	TBD	TBD
100425A	02:50:45	420398	299.161	-26.463	2.4	37.0	4.7
100424A	16:32:42	420367	209.453	1.512	1.5	104	15
100423A	00:34:59	420247	136.471	21.487	1.0	n/a	85
100420A	05:22:42	419932	296.090	55.755	4.6	48	5.7
100418A	21:10:08	419797	256.358	11.457	1.9	7.0	3.4
100413B	08:42:41	419380	356.8264	51.2704	2	n/a	4.3
100413A	17:33:28	419404	266.223	15.835	1.5	191	62
100401A	07:07:31.9	417974|Ground Analysis|20133	290.813	-8.257	2	n/a	n/a
100324A	00:21:27	Ground Analysis|20130	98.612	-9.735	2.5	~6	0.7
100316D	12:44:50	416135	107.599	-56.275	3.0	n/a	3.0
100316C	08:57:59	416115	32.309	-67.992	2.0	9.3	1.8
100316B	08:01:36	416103	163.499	-45.464	1.4	3.8	2.0
100316A	02:23:00	416076	251.953	71.819	1.7	7.0	8.2
100305A	09:05:38	414905	168.373	42.381	1.9	69.7	15
100302A	19:53:06	414592	195.504	74.568	1.7	17.9	3.1
100224A	15:20:10	413805|Ground Analysis	83.467	-7.994	3	n/a	0.32
100219A	15:15:46	412982	154.202	-12.555	2.5	18.8	3.7
100216A	10:07:00	412522|Ground Analysis|20127	154.263	35.524	3	n/a	0.47
100213B	22:58:34	412220	124.320	43.464	1.4	48.0	n/a
100213A	22:27:48	412217	349.379	43.370	1.4	2.4	2.7
100212A	14:07:22	412081	356.445	49.492	2.1	136	9.1
100206A	13:30:05	411412	47.168	13.175	1.5	0.12	1.4
100205A	04:18:43	411248	141.385	31.740	2.1	26.0	4.0
100203A	18:31:07	Ground Analysis|411011	96.225	4.793	2	TBD	TBD
100119A	18:25:25	383063	299.308	-53.149	1.3	23.8	140
100117A	21:06:19	382941	11.280	-1.586	1.7	0.3	0.93
100115A	11:15:19	Ground Analysis|20126	3.333	-0.817	4	~3	n/a
100111A	04:12:49	382399	247.029	15.539	1.2	12.9	6.7
091221	20:52:52	380311	55.798	23.243	1.4	68.5	57
091208B	09:49:57	378559	29.411	16.881	1.2	14.9	33
091208A	08:46:00	378554	0.295	65.680	1.1	29.1	15
091130B	17:59:04	377487	203.149	34.086	1.3	112.5	13
091127	23:25:45	377179	36.581	-18.948	1.2	7.1	90
091112	17:41:21	375659	257.751	-36.729	1.5	17	21
091109B	21:49:03	375409	112.750	-54.092	1.2	0.3	1.9
091109A	04:57:43	375246	309.252	-44.177	2.1	48	16
091104	08:49:22	374875	208.723	47.391	2.6	99.3	7.7
091102	14:34:38	374598	72.622	-72.527	1.2	6.6	5.2
091029	03:53:22	374210	60.166	-55.954	1.0	39.2	24
091026	13:11:30	373871	276.657	-86.113	1.1	41.6	18
091024	08:56:01	373674	339.240	56.885	1.0	109.8	61
091020	21:36:44	373458	175.727	50.977	1.0	34.6	37
091018	20:48:19	373172	32.191	-57.546	1.0	4.4	14
090929B	10:09:07	371050	117.712	-0.645	1.4	360	59
090927	10:07:16	370846	343.929	-70.973	1.6	2.2	2.0
090926B	21:55:48	370791	46.310	-38.997	1.0	109.7	73
090916	07:00:44	362818	126.582	25.941	2.7	63.4	9.5
090915	15:35:36	Ground Analysis|20112	237.990	15.480	3	8	5
090912	15:50:29	362633	188.046	61.475	1.2	144.0	45
090904B	01:24:18	361831	264.194	-25.219	1.2	47.0	110
090904A	01:01:06	361830	100.855	50.235	3.0	122	30
090831C	21:30:25	361489	108.294	-25.112	2.1	3.3	1.5
090827	19:06:26	361029|Ground Analysis|20110	18.435	-50.899	2.8	n/a	40
090815C	23:21:39	360068	64.490	-65.943	2.7	0.6	0.44
090814A	00:52:19	359951	239.613	25.586	2.0	80	13
090813	04:10:43	359884	225.065	88.571	1.3	7.1	13
090812	06:02:08	359711	353.20	-10.609	1.0	66.7	58
090809	17:31:14	359530	328.665	-0.083	2.0	5.4	3.4
090807	15:00:27	359378	273.741	10.279	1.8	140.8	22
090728	14:45:45	358574	29.644	41.632	1.9	59	10
090727	22:42:18	358520	315.917	64.937	2.2	302	14
090726	22:42:27	358422	248.681	72.866	1.7	67.0	8.6
090720	06:38:08	357811|Ground Analysis	203.694	-10.335	3	n/a	n/a
090715B	21:03:14	357512	251.337	44.837	1.0	266	57
090715A	17:25:39	357498	152.102	10.006	2.4	63	9.8
090712	03:51:05	357072	70.097	22.525	1.6	145	40
090709B	15:07:42	356912	93.522	64.081	1.8	27.2	15
090709A	07:38:34	356890	289.944	60.728	1.0	89	257
090708	03:38:15	356776	154.632	26.616	1.7	15.0	6.9
090628	21:20:12	355942	237.038	-15.969	1.7	20.1	7.0
090621B	22:07:25	355359	313.455	69.034	1.7	0.14	0.70
090621A	04:22:43	355303	10.987	61.938	1.7	n/a	n/a
090618	08:28:29	355083	294.008	78.352	0.46	113.2	1050
090607	05:30:17	354299	191.194	44.108	1.9	2.3	1.1
090531B	18:35:56	353728	252.070	-36.015	2.1	80	7.1
090531A	01:45:17	353627	178.672	7.824	1.1	32	13
090530	03:18:18	353567	179.400	26.590	1.9	48	11
090529	14:12:35	353540	212.446	24.450	2.0	>100	6.8
090520	01:37:16	352671	11.613	-8.000	3	20	3.4
090519	21:08:56	352648	142.317	0.190	2.0	64	12
090518	01:54:44	352420	119.957	0.778	1.2	6.9	4.7
090516A	08:27:50	352190	138.246	-11.848	1.5	210	90
090515	04:45:09	352108	164.166	14.469	2.1	0.036	0.2
090510	00:23:00	351588	333.552	-26.598	1.7	0.3	3.4
090509	05:10:03	351525	241.422	-28.385	2.1	335	33
090429B	05:30:03	350854	210.672	32.167	1.3	5.5	3.1
090429A	04:53:39	350853	90.573	-52.389	1.7	188	10
090426	12:48:47	350479	189.082	32.978	1.7	1.2	1.8
090424	14:12:09	350311	189.531	16.829	1.0	48	210
090423	07:55:19	350184	148.891	18.165	1.1	10.3	5.9
090422	03:35:16	349931	294.746	40.398	2.0	8.5	2.3
090419	13:43:31	349592	197.006	-75.615	2.1	450	25
090418B	08:59:02	BATSS	225.910	17.224	1.91	65.0	160
090418A	11:07:40	349510	269.320	33.407	1.4	56	46
090417B	15:20:03	349450	209.687	47.015	~1	>260	23
090417A	13:17:23	349447	34.993	-7.141	2.8	0.072	0.19
090410	16:57:52	348929	334.956	15.419	1.8	165	56
090407	10:28:25	348650	68.979	-12.684	2.2	310	11
090404	15:56:30	348428	239.233	35.518	1.0	84	30
090401B	08:35:25	348152	95.095	-8.963	1.0	183	100
090401A	00:00:59	348128	350.920	29.762	1.0	112	110
090313	09:06:27	346386	198.400	8.086	2.2	79	14
090309A	23:29:13	345945	284.978	-25.274	2.3	3.0	1.3
090308A	18:01:23	345777	183.545	-48.754	3.4	48	2.6
090307A	03:46:37	345551	245.007	-28.647	3.3	22	2.6
090306B	23:07:02	BATSS	231.204	-6.958	2.87	20.4	31
090305A	05:19:51	345127	241.764	-31.572	2.3	0.4	0.75
090301A	06:55:55	344582	338.142	26.639	1.0	41.0	230
090205	23:03:14	342121	220.917	-27.848	2.0	8.8	1.9
090201	17:47:02	341749	92.051	-46.604	1.0	83	300
090129	21:07:15	341504	269.105	-32.793	1.0	17.5	21
090123	07:51:56	340895	6.794	-23.503	1.5	131	29
090118	13:54:02	BATSS	49.865	18.478	3.69	16	4.0
090113	18:40:39	339852	32.067	33.436	1.0	9.1	7.6
090111	23:58:21	339696	251.656	0.067	1.4	24.8	6.2
090107A	04:48:04	339295	302.409	4.744	2.4	12.2	2.3
090102	02:55:45	338895	128.248	33.107	1.4	27.0	0.68
081230	20:36:12	338633	37.330	-25.145	1.4	60.7	8.2
081228	01:17:40	338338	39.477	30.833	2.3	3.0	0.89
081226A	01:03:37	338177	120.478	-69.014	2.1	0.4	0.99
081222	04:53:59	337914	22.748	-34.095	1.0	24	48
081221	16:21:11	337889	15.801	-24.542	1.0	34	181
081211B	06:15:02	BATSS	168.231	53.845	3.04	n/a	6.1
081211A	11:48:10	337115	328.082	-33.818	2.3	3.5	1.3
081210	20:19:34	337073	70.485	-11.263	1.0	146	18
081203B	13:57:11	BATSS	228.789	44.427	3.04	23.4	21
081203A	13:57:11	336489	233.071	63.514	1.1	294	77
081128	17:18:44	335895	20.800	38.123	1.0	100	23
081127	07:05:08	335715	332.075	6.858	2.4	37	4.9
081126	21:34:10	335647	323.526	48.714	1.0	54	33
081121	20:35:32	335105	89.282	-60.612	1.4	14	41
081118	14:56:36	334877	82.572	-43.305	1.6	67	12
081109A	07:02:06	334112	330.798	-54.711	1.0	190	36
081104	09:34:42	333666	100.500	-54.722	1.3	59.1	20
081102	17:44:39	333427	331.178	52.991	1.1	63	23
081101	11:46:31	333320	95.836	-0.112	1.7	0.20	0.62
081029	01:43:56	332931	346.776	-68.179	2.2	270	21
081028A	00:25:00	332851	121.893	2.305	1.2	260	37
081025	08:22:02	BATSS	245.298	60.466	2.87	23	19
081024A	05:53:0	332516	27.891	61.352	1.7	1.8	1.2
081022	14:23:48	332399	226.584	12.409	1.4	160	25
081017	23:38:12	331964	230.209	-32.790	2.3	320	14
081016B	19:47:14	331856	14.582	-43.536	2.3	2.6	0.99
081012	13:10:23	331475	30.184	-17.627	1.8	29	11
081011	00:28:50	331332	220.363	33.548	2.3	9	1.6
081008	19:58:09	331093	279.968	-57.433	1.1	185.5	43
081007	05:23:52	330856	339.963	-40.146	1.5	10.0	7.1
080928	15:01:32	326115	95.061	-55.176	2.3	280	25
080919	00:05:13	325268	265.221	-42.375	1.9	0.6	0.72
080916B	14:44:47	324907	163.632	69.061	2.1	32	6.3
080916A	09:45:20	324895	336.289	-57.026	1.0	60	40
080915B	15:53:35	324805	213.088	-11.491	1.0	3.9	9.9
080915A	00:02:49	324744	17.911	-76.042	2.4	14	2.3
080913	06:46:54	324561	65.741	-25.127	1.5	8	5.6
080906	13:33:16	323984	228.055	-80.540	1.7	147	35
080905B	16:55:45	323898	301.746	-62.568	1.9	128	18
080905A	11:58:54	323870	287.663	-18.865	2.1	1.0	1.4
080903	01:12:23	323542	86.790	51.256	1.0	66	14
080822B	21:02:52	321376	63.560	25.760	3.6	64	1.7
080810	13:10:12	319584	356.783	0.310	1.2	106	46
080805	07:41:34	319036	314.231	-62.433	1.0	78	25
080804	23:20:14	319016	328.675	-53.189	1.2	34	36
080802	15:12:21	318832	270.729	-32.329	1.6	176	13
080727C	23:07:35	318170	32.638	64.130	1.0	79.7	52
080727B	08:13:24	318101	276.871	1.173	1.0	8.6	31
080727A	05:57:39	318094	208.416	-18.572	2.4	4.9	1.3
080725	10:26:14	317888	121.699	-13.984	1.3	120	37
080723A	04:19:24	317662	274.461	-6.910	1.6	17.3	3.3
080721	10:25:16	317508	224.481	-11.709	1.3	16.2	120
080714	17:52:56	316910	188.104	-60.274	1.0	33	25
080710	07:13:10	316534	8.259	19.484	2.3	120	14
080707	08:27:53	316204	32.627	33.100	1.8	27.1	5.2
080703	19:00:13	315819	101.822	-63.211	2.2	3.4	2.0
080702B	01:10:41	BATSS	355.616	-5.424	3.5	20	5.0
080702A	11:50:43	315710	313.049	72.278	3.0	0.5	0.36
080701	10:13:37	315615	45.944	75.481	1.4	18	7.1
080623	10:25:28	315080	237.667	-62.044	1.4	15.2	10
080613B	11:12:37	313954	173.806	-7.102	1.0	105	58
080607	06:07:27	313417	194.964	15.910	1.0	79	240
080605	23:47:57	313299	262.130	4.010	1.0	20	133
080604	07:27:01	313116	236.960	20.557	2.0	82	8.0
080603B	19:38:13	313087	176.554	68.061	1.0	60	24
080602	01:30:28	312958	19.177	-9.239	1.7	74	32
080524	04:13:00	312277	268.449	80.143	2.5	9	2.9
080523	21:21:51	312242	20.769	-64.060	1.7	102	8.8
080520	22:20:24	312047	280.179	-54.964	2.4	2.8	0.55
080517	21:22:51	311874	102.274	50.741	2.4	64.6	5.6
080516	00:17:07	311762	120.661	-26.146	2.1	5.8	2.6
080515	06:01:13	311658	3.166	32.564	1.6	21	20
080506	17:46:21	311159	329.467	38.961	2.5	150	13
080503	12:26:13	310785	286.686	68.803	3.5	170	20
080430	19:53:02	310613	165.331	51.682	1.0	16.2	12
080426	13:23:22	310219	26.510	69.469	1.1	1.7	3.7
080413B	08:51:12	309111	326.138	-19.981	1.0	8.0	32
080413A	02:54:19	309096	287.301	-27.677	1.0	46	35
080411	21:15:32	309010	37.961	-71.297	1.0	56	264
080409	01:22:57	308812	84.304	5.078	2.0	20.2	6.1
080330	03:41:16	308041	169.278	30.607	1.8	61	3.4
080328	08:03:04	307931	80.490	47.523	1.0	90.6	94
080325	04:09:17	307604	277.906	36.516	2.0	128.4	49
080320	04:37:38	306858	177.763	57.162	1.8	14	2.7
080319D	17:05:09	306793	99.479	23.982	2.6	24	3.2
080319C	12:25:56	306778	259.006	55.393	1.0	34	36
080319B	06:12:49	306757	217.919	36.300	1.0	>50	810
080319A	05:45:42	306754	206.352	44.080	1.7	64	48
080315	02:25:01	306323	155.124	41.701	3.3	65	1.4
080310	08:37:58	305288	220.040	-0.164	1.4	365	23
080307	11:23:30	305011	136.629	35.151	1.6	125.9	8.7
080303	09:10:35	304549	112.019	-70.231	1.6	67	6.6
080229A	17:04:59	304379	228.220	-14.697	1.5	64	90
080218B	23:57:47	303631	177.927	-53.086	2.0	6.2	5.1
080218A	20:08:42	303609	355.941	12.159	2.5	27.6	6.3
080212	17:34:33	303105	231.145	-22.739	1.5	123	29
080210	07:50:05	302888	251.259	13.826	1.1	45	18
080207	21:30:21	302728	207.514	7.492	1.2	340	61
080205	07:55:51	302506	98.261	62.782	1.5	106.5	21
080130	11:13:59	BATSS	261.632	-53.190	2.8	65	7.7
080129	06:06:45	301981	105.297	-7.840	2.4	48	8.9
080123	04:21:57	301578	338.974	-64.930	4.1	115	5.7
080121	21:29:55	301491	137.235	41.841	3	0.7	0.3
071227	20:13:47	299787	58.132	-55.959	1.7	1.8	2.2
071129	00:03:55	297628	220.039	-26.667	2.2	420	35
071122	01:23:25	297114	276.576	47.102	2.3	68.7	5.8
071118	08:57:17	296856	299.839	70.130	2.7	71	5.0
071117	14:50:06	296805	335.026	-63.442	1.0	6.6	24
071112C	18:32:57	296504	39.218	28.368	1.0	15	30
071112B	18:23:31	296503	260.213	-80.884	2.2	0.30	0.48
071101	17:53:46	295779	48.179	62.524	2.7	9.0	0.76
071031	01:06:36	295670	6.399	-58.048	2.1	180	9.0
071028B	02:43:46	295492|Ground Analysis	354.163	-31.630	3	55	2.5
071028A	17:41:01	295527	119.828	21.473	2.2	27.0	3.0
071025	04:08:54	295301	355.065	31.784	1.3	109	65
071021	09:41:33	294974	340.573	23.764	3.4	225	13
071020	07:02:26	294835	119.666	32.857	1.0	4.2	23
071018	08:37:41	294645	164.685	53.822	2.1	376.0	10
071013	12:09:19	294120	279.501	33.846	2.5	26	3.2
071011	12:40:13	293924	8.395	61.132	1.3	61	0.22
071010C	22:20:22	293804|Ground Analysis	338.054	66.159	TBD	TBD	TBD
071010B	20:45:47	293795	150.531	45.733	1.0	>35.7	44
071010A	03:41:12	293707	288.040	-32.385	2.5	6	2.0
071008	21:55:56	293587	151.571	44.303	2.0	18	2.4
071006	06:41:40	293250|Ground Analysis	335.294	-23.147	1.9	50	1.4
071003	07:40:55	292934	301.857	10.954	1.0	150	83
071001	16:31:48	292826	149.707	-59.763	2	58.5	7.7
070923	19:15:23	292004	184.623	-38.294	2.1	0.05	0.5
070920B	21:04:32	291728	0.127	-34.844	1	20.2	6.6
070920A	04:00:13	291614	100.968	72.250	2.1	56	5.1
070917	07:33:56	291292	293.923	2.420	1.0	7.3	20
070913	00:36:43	290843	228.737	-24.278	1.7	3.2	2.5
070911	05:57:44	290624	25.819	-33.484	1.5	162	120
070810B	15:19:17	287409	8.952	8.822	2.5	0.08	0.12
070810A	02:11:52	287364	189.947	10.747	1.3	11.0	6.9
070809	19:22:17	287344	203.767	-22.119	1.7	1.3	1.0
070808	18:28:00	287260	6.761	1.180	1.2	32	12
070805	19:55:45	287088	245.057	-59.957	1.5	31.0	7.2
070802	07:07:25	286809	36.903	-55.517	2.0	16.4	2.8
070731	09:33:22	286574	328.581	-15.740	1.9	2.9	1.6
070729	00:25:53	286373	56.296	-39.330	2.2	0.9	1.0
070724A	10:53:50	285948	27.824	-18.610	1.2	0.4	0.3
070721B	10:33:48	285654	33.128	-2.198	1.2	340	36
070721A	10:01:08	285653	3.144	-28.530	2.3	3.4	0.71
070714B	04:59:29	284856	57.853	28.294	1.4	64	7.2
070714A	03:20:31	284850	42.933	30.241	1.3	2.0	1.5
070704	20:05:57	283791	354.707	66.257	1.6	380	59
070628	14:41:02	283320	115.271	-20.281	1.3	39.1	35
070621	23:17:39	282808	323.806	-24.809	1.0	33.3	43
070616	16:29:34	282445	32.096	56.946	2.6	402.400	192.00
070612B	06:21:18	282073	261.716	-8.747	1.1	13.500	16.80
070612A	02:38:46	282066	121.355	37.258	1.4	368.800	106.00
070611	01:57:14	282003	2.004	-29.756	1.9	12.200	3.91
070531	02:10:18	280958	6.714	74.315	1.7	44.500	10.80
070529	12:48:28	280706	283.717	20.648	1.7	109.200	25.70
070521	06:51:11	279935	242.659	30.260	1.1	37.900	80.10
070520B	17:44:53	279898	121.886	57.588	1.8	65.800	9.25
070520A	13:05:10	279817	193.255	75.005	2.2	18.100	2.50
070518	14:26:21	279592	254.219	55.289	1.8	5.500	1.62
070517	11:20:58	279494	277.556	-62.305	1.9	7.600	2.15
070509	02:48:27	278903	237.874	-78.657	1.7	7.700	1.75
070508	04:18:18	278854	312.832	-78.382	1.0	20.900	196.00
070506	05:35:58	278693	347.203	10.711	1.9	4.300	2.10
070429B	03:09:04	277582	328.006	-38.857	1.8	0.470	0.63
070429A	01:35:10	277571	297.695	-32.420	2.5	163.300	9.10
070427	08:31:09	277356	28.871	-27.603	1.0	11.100	7.20
070420	06:18:14	276321	121.245	-45.564	1.0	76.500	140.00
070419B	10:44:06	276212	315.709	-31.266	1.0	236.400	73.60
070419A	09:59:26	276205	182.755	39.903	2.3	115.600	5.58
070412	01:27:03	275119	181.525	40.133	1.5	33.800	4.84
070411	20:12:33	275087	107.342	1.061	1.5	121.500	27.00
070406	00:50:39	274153	198.956	16.530	3.3	1.200	0.36
070330	22:51:31	273180	269.533	-63.799	1.9	9.000	1.83
070328	03:53:53	272773	65.113	-34.079	1.0	75.300	90.60
070326	16:29:12	BATSS	40.337	-66.989	n/a	n/a	3.45
070318	07:28:56	271019	48.486	-42.950	1.0	74.600	24.80
070306	16:41:28	263361	148.154	10.440	2.7	209.500	53.80
070227	22:21:59	262347|Ground Analysis	120.578	-46.302	2.3	7	16.20
070224	20:27:58	261880	178.988	-13.355	2.0	34.500	3.05
070223	01:15:01	261664	153.453	43.132	1.2	88.500	17.00
070220	04:44:33	261299	34.800	68.800	1.0	129.000	104.00
070219	01:10:16	261132	260.220	69.345	1.9	16.600	3.19
070209	03:33:42	259803	46.213	-47.376	2.8	0.090	0.22
070208	09:10:34	259714	197.891	61.942	3.6	47.700	4.45
070129	23:35:10	258408	36.995	11.728	2.7	460.600	29.80
070126	02:33:26	257741	33.503	-73.553	3.7	51	1.63
070110	07:22:42	255445	0.934	-52.978	1.1	88.400	16.20
070107	12:05:18	255029	159.422	-53.202	1.1	347.300	51.70
070103	20:46:39	254532	352.581	26.823	2.7	18.600	3.38
061222B	04:11:02	252593	105.353	-25.866	1.2	40.000	22.40
061222A	03:28:52	252588	358.254	46.524	1.2	71.400	79.90
061218	04:05:06	251863	149.260	-35.217	3.5	6.500	0.41
061217	03:40:08	251634	160.403	-21.152	2.2	0.210	0.42
061210	12:20:39	243690	144.521	15.613	2.3	85.300	11.10
061202	08:11:45	241963	105.255	-74.602	4.0	91.200	34.20
061201	15:58:37	241840	332.079	-74.568	1.2	0.760	3.34
061126	08:47:56	240766	86.615	64.204	1.0	70.800	67.70
061121	15:22:29	239899	147.228	-13.188	1.0	81.300	137.00
061110B	21:58:46	238174	323.912	6.872	1.6	134.000	13.30
061110A	11:47:21	238108	336.284	-2.252	1.1	40.700	10.60
061102	01:00:31	236430	148.394	-17.022	2.6	45.600	2.79
061028	01:26:22	235715	97.193	46.290	2.5	106.200	9.66
061027	10:15:02	235645	270.992	-82.239	3.7	150	2.97
061021	15:39:08	234905	145.146	-21.953	1.0	46.200	29.60
061019	04:19:07	234516	91.675	29.527	3.1	183.800	25.90
061007	10:08:09	232683	46.299	-50.496	1.0	75.300	444.00
061006	16:45:51	232585	110.998	-79.195	1.8	129.900	14.20
061004	19:50:31	232339	97.795	-45.903	1.0	6.200	5.66
061002	01:03:30	231974	220.356	48.726	1.7	17.600	6.77
060929	19:55:01	231702	263.148	29.825	2.8	554.000	8.30
060927	14:07:35	231362	329.547	5.370	1.0	22.500	11.30
060926	16:48:42	231231	263.926	13.039	1.4	8.000	2.19
060923C	13:33:03	230711	346.122	3.943	2.1	75.800	15.80
060923B	11:38:06	230702	238.193	-30.907	1.6	8.600	4.80
060923A	05:12:15	230662	254.623	12.341	2.1	51.700	8.69
060919	07:48:39	230115	276.900	-50.994	1.6	9.100	5.46
060912A	13:55:54	229185	5.285	20.971	1.0	5.000	13.50
060908	08:57:22	228581	31.828	0.335	1.1	19.300	28.00
060906	08:32:47	228316	40.709	30.362	2.5	43.500	22.10
060904B	02:31:04	228006	58.218	-0.729	1.0	171.500	16.20
060904A	01:03:21	227996	237.731	44.984	1.5	80.100	77.20
060825	02:59:58	226382	18.132	55.796	1.0	8.000	9.63
060814	23:02:19	224552	221.338	20.591	1.0	145.300	146.00
060813	22:50:23	224364	111.890	-29.844	1.0	16.100	54.60
060807	14:41:35	223217	252.520	31.591	1.8	54.000	8.48
060805A	04:47:49	222683	220.928	12.580	2.7	5.300	0.72
060804	07:28:20	222546	112.219	-27.225	1.9	17.800	5.98
060801	12:16:15	222154	212.989	16.988	1.8	0.490	0.80
060729	19:12:29	221755	95.287	-62.221	4.1	115.300	26.10
060728	22:24:31	221627	16.644	-41.390	3.0	60	2.29
060719	06:50:37	220020	18.420	-48.381	1.3	66.900	15.00
060717	09:07:39	219646	170.857	28.982	2.6	3.000	0.65
060714	15:12:00	219101	227.855	-6.544	1.5	115.000	28.30
060712	21:07:44	218582	184.067	35.540	2.2	26.300	12.40
060708	12:15:59	217805	7.831	-33.751	1.0	10.200	4.94
060707	21:30:19	217704	357.069	-17.904	1.4	66.200	16.00
060614	12:43:49	214805	320.877	-53.027	1.0	108.700	204.00
060607B	23:32:44	213934	42.043	14.755	1.1	31.100	16.40
060607A	05:12:13	213823	329.705	-22.496	1.0	102.200	25.50
060605	18:15:45	213630	322.128	-6.071	1.9	79.100	6.97
060604	18:19:00	213486	337.224	-10.945	3.7	95.000	4.02
060602A	21:32:12	213180	149.579	0.314	1.6	75.000	16.10
060526	16:28:30	211957	232.834	0.288	1.4	298.200	12.60
060522	02:11:19	211117	322.954	2.895	1.5	71.100	11.40
060516	06:43:35	210254	71.170	-18.126	2.4	161.600	10.20
060515	02:27:53	210084	127.277	73.561	1.5	52.000	14.10
060512	23:13:21	209755	195.748	41.209	1.9	8.500	2.32
060510B	08:22:15	209352	239.259	78.591	1.9	275.200	40.70
060510A	07:43:28	209351	95.860	-1.163	1.3	20.400	80.50
060507	01:53:12	208870	89.911	75.250	1.1	183.300	44.50
060505	06:36:01	208654	331.772	-27.815	3.9	~4	9.44
060502B	17:24:41	208275	278.927	52.618	2.4	0.131	0.40
